timestamp,average_speed,max_acceleration,hard_brakes,smooth_brakes,energy_consumption,idle_time,driver_profile
2025-06-11 16:17:45,74.91653803602453,1.235232716814481,3,3,19.987250028543684,32.38527901520178,2
2025-06-11 16:17:46,58.93631601204157,2.7654626594957272,5,4,19.11633543338074,49.37345515022959,0
2025-06-11 16:17:47,39.63992558590322,1.5215004541333936,2,3,14.46198770775992,37.19108733479321,2
2025-06-11 16:17:48,58.06063069922523,2.2679754895833617,2,2,21.812006371063926,31.135613117162016,0
2025-06-11 16:17:49,68.36533336614694,1.920926899080597,1,5,20.21722924383043,59.436246124246125,0
2025-06-11 16:17:50,71.88337094542848,2.0475194400135983,1,2,16.130285144966866,40.05239135087477,0
2025-06-11 16:17:51,68.30708481159023,1.5037279037298008,2,3,12.293296419118644,47.01618791853414,2
2025-06-11 16:17:52,61.10036016997648,1.6306954587924598,4,4,21.912002096686237,22.302918372872853,2
2025-06-11 16:17:53,85.95553077543491,3.469381786948996,0,5,16.607269716149517,48.31027417694762,0
2025-06-11 16:17:54,63.86043380812529,2.127508120129853,2,3,20.599292208291295,33.209023505217914,0
2025-06-11 16:17:55,77.24744035840037,2.4874199364978877,0,2,12.352593166712222,41.41855920167628,1
2025-06-11 16:17:56,93.96666603293806,3.358977026043308,2,3,18.738181209357386,59.76832936446259,0
2025-06-11 16:17:57,83.26450384599082,1.581046780841178,2,2,15.136796949034245,41.337901255360045,1
2025-06-11 16:17:58,67.57264322292265,2.8909405982809195,1,2,14.9129121704285,69.14280998663959,0
2025-06-11 16:17:59,68.4124381359808,3.135967750711738,0,3,17.979581697738944,35.13879309433675,2
2025-06-11 16:18:00,61.18768470995226,1.5332670818555503,3,2,20.578073966581165,58.92368537016487,0
2025-06-11 16:18:01,57.55202396777047,1.3465075740152161,0,4,21.30846171426307,47.36961468377177,0
2025-06-11 16:18:02,45.921214983309156,2.711396567470659,3,4,21.460979801375768,57.14935220028761,0
2025-06-11 16:18:03,47.929125220170995,2.8644797278464913,2,2,17.79575733954007,41.296719051469644,1
2025-06-11 16:18:04,97.17554631153061,3.3946771424381317,2,2,19.556679240893793,45.01062941520783,2
2025-06-11 16:18:05,60.641022839853,1.9058843695120156,3,4,16.457309476088607,51.517539691369585,1
2025-06-11 16:18:06,68.60308765919335,3.7531328247682434,2,5,20.09215853185423,43.07959698025143,2
2025-06-11 16:18:07,77.01148140109386,2.1078184388024157,2,4,15.784125805690211,64.63075018383424,1
2025-06-11 16:18:08,91.44485473063656,2.3753522616749567,1,2,18.99971610505276,36.577754628509645,0
2025-06-11 16:18:09,51.06291813536272,3.8787222267000674,0,3,21.12032288888584,50.75154393894921,0
2025-06-11 16:18:10,43.135632700691346,1.7883404226088544,1,2,19.156049822129354,55.52936237448489,0
2025-06-11 16:18:11,69.6313730646709,1.7914087330617847,5,2,16.849581063276787,67.36405240802594,0
2025-06-11 16:18:12,73.82309610560111,2.4321337689269,2,6,15.137385194787049,45.08574129139336,0
2025-06-11 16:18:13,68.07602564007344,3.2387965172002353,1,5,22.17224550917925,65.43602903157614,0
2025-06-11 16:18:14,69.64952991477058,3.021845109612117,2,5,25.833897204526,17.721696979699445,1
2025-06-11 16:18:15,62.18512258555698,3.6623085196681995,4,3,11.312573547454779,34.22353001070463,2
2025-06-11 16:18:16,53.198673093466574,3.169123991029298,1,1,19.076089077046788,50.66447204149364,1
2025-06-11 16:18:17,77.3752786958264,3.1527500822879424,2,2,15.122335836879676,67.02486200033938,1
2025-06-11 16:18:18,65.6193118338116,3.537158898658243,3,2,18.34572075635017,38.63844276623851,2
2025-06-11 16:18:19,72.3787330722708,2.541125068641877,1,6,12.432166476193075,70.56153117088677,1
2025-06-11 16:18:20,63.27335459115141,2.1540806709528293,3,1,14.93254384798179,46.02108403872931,1
2025-06-11 16:18:21,80.43153487135221,3.001685045168788,5,2,27.35651580627564,39.988677618369984,2
2025-06-11 16:18:22,74.67556783173495,2.4875867804744054,2,3,16.969518057956023,43.955498200498376,2
2025-06-11 16:18:23,75.33746685611503,1.8163657177136123,1,1,18.59839183007515,46.46740762061884,0
2025-06-11 16:18:24,71.5400866283387,3.3438395096417373,0,6,15.230596903064823,35.11441087667033,0
2025-06-11 16:18:25,56.38848987074603,3.0364138998913432,0,1,16.300403643188773,60.870335821737186,0
2025-06-11 16:18:26,67.87447943101084,3.698532627121187,2,1,20.986445458408628,49.88366725180605,0
2025-06-11 16:18:27,99.13738141471455,1.6477753570026759,3,1,18.549409917628143,88.77260332590139,0
2025-06-11 16:18:28,49.57212521481242,1.6244921543528381,0,2,20.51507431636285,39.63943355375106,2
2025-06-11 16:18:29,90.35600762195628,3.967638337860758,2,3,19.303533853400936,69.31260265354734,1
2025-06-11 16:18:30,46.13874169131459,2.318765366121306,3,6,10.298167126652427,33.76600960109343,1
2025-06-11 16:18:31,50.320057501157486,3.5062577730028917,1,3,21.148554216013892,41.83439088877988,1
2025-06-11 16:18:32,63.18307811083725,3.407487586221472,2,4,15.466859258615422,53.791185515105454,0
2025-06-11 16:18:33,67.95769615708438,1.7272256065056202,0,5,18.968987935726503,16.183488703005555,1
2025-06-11 16:18:34,82.72789007163921,3.1422097723112623,3,5,26.932775386604742,31.689114148387112,2
2025-06-11 16:18:35,56.40076066134599,0.9938745223111689,2,2,21.5936746865086,30.770971422212433,1
2025-06-11 16:18:36,44.765723985413615,2.1915306667900953,2,2,18.49561552012006,41.48063553931719,2
2025-06-11 16:18:37,34.94939376663327,3.3484893276377896,3,2,15.316453056436778,58.33654167874465,2
2025-06-11 16:18:38,70.41537717714132,3.4681026637765426,2,3,12.118041795074998,26.05845336452154,2
2025-06-11 16:18:39,53.36187765250274,2.5789640456680845,2,6,24.294936866220425,51.85032016095599,1
2025-06-11 16:18:40,42.55761780253025,1.5817878334902085,4,2,21.431595301165373,53.3035429660169,0
2025-06-11 16:18:41,61.140499990733154,3.5821123129931407,0,2,16.91035993358525,63.505864175042895,0
2025-06-11 16:18:42,52.92357228454237,2.6884757610181027,1,5,18.893123653021483,27.02411812571932,2
2025-06-11 16:18:43,81.26297366065315,2.710303040221995,3,4,22.90188218125788,42.24885019061936,1
2025-06-11 16:18:44,49.91719978227054,1.5237535485454647,1,4,16.61125401955095,56.56203329981957,1
2025-06-11 16:18:45,49.19246756953481,2.927814395152903,1,3,16.900790780989247,11.981347898236223,1
2025-06-11 16:18:46,35.01666639708125,2.534029586346681,7,3,17.81495513093463,46.7115223833978,0
2025-06-11 16:18:47,65.92825029330703,1.5724466691882721,0,1,8.303397531850777,25.579422289716764,2
2025-06-11 16:18:48,67.3498033490561,2.0809220940563544,2,8,18.113863756849156,34.323132487958176,1
2025-06-11 16:18:49,76.4322757047805,2.0463611510832362,1,3,13.133571073347767,59.730493743597165,2
2025-06-11 16:18:50,90.75996670933327,4.109282524488321,3,4,10.091100619044072,27.27242145886513,0
2025-06-11 16:18:51,78.06368072674115,4.113802715036153,0,5,18.810656657853848,48.60303642845935,1
2025-06-11 16:18:52,54.4386854661144,1.8742093062203782,2,1,24.472368072678265,37.44329066610841,1
2025-06-11 16:18:53,46.25500328075405,1.3065025591004726,2,2,22.634441466966805,46.74843523862918,1
2025-06-11 16:18:54,96.81535402298665,2.271799420497789,4,1,18.549302303420916,66.13382340407584,2
2025-06-11 16:18:55,95.0436101019,2.295780632175891,4,4,13.058500371492457,67.84840060768259,0
2025-06-11 16:18:56,76.69751171118024,3.654230224722774,1,5,13.33395076623644,68.20575178358105,1
2025-06-11 16:18:57,79.72848434552671,1.5347981073166668,3,1,18.369427347056053,35.995701360558144,2
2025-06-11 16:18:58,60.09990128736434,2.6247520996639344,2,2,17.320590569289077,69.5510994274596,2
2025-06-11 16:18:59,62.25048935710704,2.480205655479292,3,6,23.62892004553454,26.87114213636487,1
2025-06-11 16:19:00,43.83117492245451,2.363203095242659,1,5,20.941364616791184,45.928621560449955,1
2025-06-11 16:19:01,69.43340902680119,2.789022050605403,1,2,17.091575968876295,42.873636689586924,0
2025-06-11 16:19:02,67.03345124622064,3.228518643514536,3,0,19.766514593675662,38.73591048342182,2
2025-06-11 16:19:03,54.721241786943565,3.723931818468504,2,2,15.51544764475041,57.936034331383425,0
2025-06-11 16:19:04,65.28808952005538,1.1103703291444544,2,7,13.777442040805614,39.69471360649491,0
2025-06-11 16:19:05,46.51353141254,3.452461970536169,3,3,16.032172380522066,64.92085333480452,2
2025-06-11 16:19:06,50.40853224859999,2.906622034222674,3,3,17.88313437658406,56.62672682383629,2
2025-06-11 16:19:07,49.3170577148892,2.473739206730148,5,3,17.988855557332396,37.00364396976251,0
2025-06-11 16:19:08,62.37996589833593,2.525290699334676,1,2,20.683233968383664,82.5444386340446,0
2025-06-11 16:19:09,64.88968019526777,2.701932201065956,2,4,15.633811169311418,30.368099584859806,1
2025-06-11 16:19:10,96.5007223785978,2.321403196777288,3,2,15.31606614202155,60.32252846502892,2
2025-06-11 16:19:11,55.13629180272267,2.8417914681189638,4,2,20.12667513481549,34.6446248879477,2
2025-06-11 16:19:12,66.68694562276774,3.355201966463912,2,6,15.695031188484226,46.36491939224348,0
2025-06-11 16:19:13,86.81179630097641,3.929458242798823,2,2,21.316883725073822,36.48166056666507,0
2025-06-11 16:19:14,69.02150050977852,5.150988427871933,2,2,6.41912675258126,44.69381785100807,0
2025-06-11 16:19:15,88.44802189389478,3.897447960436941,0,5,14.9458509334341,40.87831467520921,1
2025-06-11 16:19:16,66.56027320944527,2.814837189895192,2,2,6.541160430588187,16.674413019679594,2
2025-06-11 16:19:17,45.41962211623449,2.384715799146781,1,4,16.693229520569922,52.995171520085854,1
2025-06-11 16:19:18,65.8487028395818,1.379187893111023,0,2,11.134067293022216,24.425330340691747,1
2025-06-11 16:19:19,61.83396995172209,3.9237540753072793,1,2,24.84411523676315,52.85940768115102,0
2025-06-11 16:19:20,59.00150014836025,1.7548322296826495,3,2,15.636687556370095,43.87531111383673,1
2025-06-11 16:19:21,34.70890806813797,3.0488358830184623,4,3,21.426949685881834,50.97072324763894,0
2025-06-11 16:19:22,70.91869978226329,2.0742443953484093,4,1,11.505045671531082,39.45134295814279,1
2025-06-11 16:19:23,73.51233081694969,1.4662651332919314,0,2,16.719598094599665,8.923956751346857,1
2025-06-11 16:19:24,44.478888372020165,1.3935254438860982,2,3,20.317387039027103,66.18040317814874,0
2025-06-11 16:19:25,55.57784391246233,2.5989337870288836,1,3,16.464501034676868,48.03420611431829,0
2025-06-11 16:19:26,64.73157534487476,1.5235999513362026,2,3,11.374477891435898,37.31524034311358,2
